@relation hw3_train

@attribute STATE {AL,CA,FL,MO,MN,TX,OR,MI,IL,AR,OK,GA,IN,CO,MS,LA,TN,WA,WI,MA,AZ,UT,KY,PA,KS,IA,NC,NM,SC,NV,ID,WY,NY,AK,ND,HI,MT,NE,SD,OH,CT,AP,VA,AE,AA,WV,MD,VI,ME,NH,NJ,GU,VT,RI}
@attribute DOMAIN {T2,' ',S1,U2,R2,U1,C1,T3,S2,C2,U4,R3,C3,S3,T1,U3,R1}
@attribute AGE numeric
@attribute HOMEOWNR {H,' ',U}
@attribute NUMCHLD numeric
@attribute INCOME {1,2,3,4,5,6,7}
@attribute GENDER {F,M,' ',J,U,C,A}
@attribute WEALTH1 {0,1,2,3,4,5,6,7,8,9}
@attribute HIT numeric
@attribute MBCRAFT numeric
@attribute MBGARDEN numeric
@attribute MBBOOKS numeric
@attribute MBCOLECT numeric
@attribute MAGFAML numeric
@attribute MAGFEM numeric
@attribute MAGMALE numeric
@attribute PUBGARDN numeric
@attribute PUBCULIN numeric
@attribute PUBHLTH numeric
@attribute PUBDOITY numeric
@attribute PUBNEWFN numeric
@attribute PUBPHOTO numeric
@attribute PUBOPP numeric
@attribute MAJOR {' ',X}
@attribute PEPSTRFL {X,' '}
@attribute NUMPRM12 numeric
@attribute NGIFTALL numeric
@attribute TARGET_B {0,1}

@data
AL,T2,?,H,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,6,0
CA,' ',79,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,28,20,0
FL,S1,86,H,?,7,M,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,14,37,0
MO,T2,25,U,?,1,M,4,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',7,6,0
CA,U2,69,U,?,3,F,3,5,0,0,1,0,0,0,0,0,0,2,0,0,0,0,' ',X,22,11,0
MN,R2,57,H,?,4,M,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,10,18,1
TX,U1,57,H,?,7,F,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,14,12,1
CA,U2,61,H,?,4,M,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,14,0
OR,C1,48,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,10,18,0
FL,T3,71,H,?,2,F,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,14,19,0
TX,T2,65,U,?,6,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,19,0
CA,U2,52,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,22,19,1
MI,T2,59,H,?,4,F,4,6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,' ',' ',13,6,0
IL,R2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,3,0
AR,S2,60,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,15,11,1
OK,T2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',28,11,0
IL,C1,62,H,?,4,F,6,10,0,0,3,0,1,1,0,0,0,1,0,0,0,0,' ',X,14,9,0
FL,C2,37,U,?,4,F,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',X,11,12,0
GA,R2,37,U,?,4,F,8,14,2,0,4,0,1,0,0,0,0,2,0,0,0,0,' ',X,13,8,0
CA,S1,33,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,4,0
CA,T2,41,H,3,4,F,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',14,4,0
OR,T2,?,H,?,2,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,24,0
TX,S1,38,H,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,7,0
MN,R2,55,U,?,2,F,0,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,22,0
MI,U4,55,U,?,1,M,4,33,2,0,8,0,1,1,0,2,2,3,5,1,0,1,' ',X,8,16,0
OK,C2,40,U,?,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',8,2,0
CA,U2,88,H,?,5,F,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',9,1,0
MI,R3,50,H,?,2,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,11,0
IN,T2,84,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,13,0
CO,S1,42,H,2,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,13,1
IL,C2,78,H,?,2,F,4,6,0,0,2,0,0,0,0,0,0,3,0,0,0,0,' ',X,9,16,0
CO,C2,1,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,16,23,0
MS,R2,49,U,?,1,M,8,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,4,0
LA,S1,56,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,27,55,0
CA,U2,62,H,?,6,M,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,3,0
OR,S2,89,U,?,2,F,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,10,0
CA,S1,47,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,7,1
TN,C3,82,H,?,5,F,0,10,2,0,0,0,1,1,0,0,0,0,1,0,0,0,' ',X,12,43,1
WA,C2,80,H,?,4,F,6,17,0,1,3,0,1,1,0,1,0,3,2,1,0,0,' ',X,13,7,0
WI,' ',52,H,?,5,M,4,22,2,1,0,0,3,0,0,0,0,0,0,0,0,0,' ',' ',28,8,0
CA,S1,34,H,?,7,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,3,0
CA,C1,50,H,?,5,M,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',14,14,0
CA,C2,63,H,?,4,M,4,10,0,0,1,0,2,2,0,0,1,0,0,0,0,0,' ',' ',13,9,0
FL,T2,56,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,28,0
MA,' ',55,H,?,5,M,8,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',15,7,0
FL,S2,37,U,?,4,M,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,' ',' ',12,4,0
TX,S1,74,' ',?,5,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,7,8,1
TN,C2,58,H,?,4,M,7,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',X,11,12,0
OK,R2,?,U,?,2,M,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',10,1,0
IN,T2,?,H,?,4,F,3,8,0,0,2,0,0,0,0,0,0,1,0,0,0,5,' ',' ',13,2,0
TX,S3,84,H,?,2,M,4,9,0,0,2,0,0,0,0,0,0,2,0,0,0,0,' ',X,16,18,0
AZ,R3,48,H,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,11,12,0
TX,U1,45,H,?,6,F,5,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,' ',' ',12,6,0
UT,C1,37,H,?,3,M,9,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,4,0
AL,R3,74,U,?,2,M,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,22,13,1
MI,R2,87,U,?,2,M,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,33,11,0
CA,T1,60,H,?,6,F,9,7,0,0,2,0,1,0,0,0,0,1,0,0,0,0,' ',X,13,9,1
IN,S1,?,U,?,7,F,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,17,0
MI,S2,65,H,?,5,F,8,11,0,0,3,0,0,0,0,0,0,2,0,0,0,0,' ',X,11,4,0
CA,U2,58,H,?,5,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,2,1
TX,T2,52,U,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,2,0
CA,S2,85,H,?,6,F,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,22,46,1
