@relation churn2_train

@attribute COLLEGE {zero,one}
@attribute INCOME numeric
@attribute OVERAGE numeric
@attribute LEFTOVER numeric
@attribute HOUSE numeric
@attribute HANDSET_PRICE numeric
@attribute OVER_15MINS_CALLS_PER_MONTH numeric
@attribute AVERAGE_CALL_DURATION numeric
@attribute REPORTED_SATISFACTION {very_unsat,unsat,very_sat,sat,avg}
@attribute REPORTED_USAGE_LEVEL {very_little,high,little,avg,very_high}
@attribute CONSIDERING_CHANGE_OF_PLAN {actively_looking_into_it,considering,no,perhaps,never_thought}
@attribute PROFITABILITY numeric
@attribute LEAVE {LEAVE,STAY}

@data
one,119070,25,17,179158,541,4,4,very_unsat,very_little,actively_looking_into_it,3.42,LEAVE
one,40157,53,0,972459,220,26,8,unsat,high,considering,5.35,STAY
zero,116959,211,0,245177,895,15,15,very_sat,very_little,actively_looking_into_it,3.51,LEAVE
one,21118,52,7,413655,205,3,5,very_sat,little,no,4.21,LEAVE
one,58114,154,50,258444,334,26,1,unsat,high,considering,3.14,LEAVE
one,54942,64,23,731897,306,5,5,very_unsat,high,actively_looking_into_it,6.6,STAY
zero,119820,155,0,863354,807,15,11,very_sat,avg,actively_looking_into_it,1.89,LEAVE
zero,107986,0,54,294067,601,4,2,sat,very_little,considering,5.67,LEAVE
one,117951,0,29,529357,344,0,1,unsat,very_little,actively_looking_into_it,7.16,LEAVE
zero,24079,0,0,928631,216,1,11,very_unsat,little,perhaps,5.37,STAY
one,29006,219,83,557407,162,28,1,very_unsat,very_little,no,1.76,LEAVE
one,73329,52,43,430486,371,3,2,avg,very_high,considering,7.03,LEAVE
zero,111572,0,78,254936,847,1,1,very_unsat,little,considering,7.83,STAY
one,66065,0,0,490357,280,1,8,very_unsat,little,actively_looking_into_it,2.79,STAY
zero,73102,83,8,355803,375,5,4,very_unsat,very_high,considering,1.82,STAY
one,21944,0,27,954543,177,1,2,very_unsat,little,considering,4.74,LEAVE
zero,64165,0,0,638740,335,1,14,unsat,high,actively_looking_into_it,6.91,STAY
one,32242,0,0,634253,193,0,10,very_sat,little,no,6.36,STAY
zero,44083,208,0,262710,173,21,9,very_unsat,little,perhaps,3.98,LEAVE
one,76435,199,0,290126,388,17,9,very_unsat,very_little,considering,2.34,LEAVE
one,64838,87,41,665783,353,5,2,unsat,avg,considering,5.56,LEAVE
one,30186,0,13,558518,144,0,11,very_unsat,high,never_thought,4.31,LEAVE
one,32870,208,20,221601,224,27,5,sat,little,considering,3.82,LEAVE
one,140800,58,19,719481,423,5,2,avg,very_little,considering,4.78,STAY
zero,114634,201,0,435784,819,20,14,very_sat,little,considering,3.19,LEAVE
zero,120319,55,0,344396,734,3,10,very_sat,very_high,never_thought,4.53,LEAVE
zero,23661,66,11,179152,235,3,4,very_unsat,little,actively_looking_into_it,3.89,LEAVE
one,103801,45,5,858691,818,3,5,avg,very_high,actively_looking_into_it,3.94,STAY
one,142073,0,0,584762,482,0,10,very_unsat,little,considering,5,STAY
one,107293,199,13,568557,461,12,5,very_sat,very_little,considering,3.55,LEAVE
one,106850,218,0,311887,511,3,12,very_unsat,very_little,no,4.96,LEAVE
one,32155,170,0,607712,157,25,8,unsat,little,considering,6.73,STAY
one,48910,56,0,654187,244,5,9,very_unsat,high,perhaps,6.43,STAY
zero,64305,0,9,675119,273,13,6,very_unsat,little,perhaps,6.83,STAY
one,46487,0,11,252538,504,0,2,very_sat,very_little,no,2.04,LEAVE
zero,112031,230,0,283801,869,16,13,very_unsat,little,considering,2.87,LEAVE
zero,54497,179,0,205279,445,29,15,unsat,little,no,3.67,LEAVE
zero,149435,0,0,782567,560,10,14,unsat,very_little,no,4.65,LEAVE
zero,59276,0,22,219676,270,4,6,very_unsat,very_high,actively_looking_into_it,4.53,STAY
one,142829,173,0,290260,505,16,11,very_unsat,very_high,actively_looking_into_it,2.42,LEAVE
zero,26521,188,85,727116,175,22,2,avg,little,considering,4.18,STAY
one,130997,229,0,252819,614,25,10,very_sat,avg,perhaps,3.06,LEAVE
zero,35999,0,19,492174,155,1,5,unsat,little,no,4.22,STAY
one,96099,168,27,518469,378,27,2,very_unsat,little,considering,3.84,LEAVE
one,139942,0,24,594352,781,1,4,unsat,very_high,never_thought,6.39,LEAVE
zero,59245,0,0,464039,265,0,11,very_unsat,avg,considering,3.66,LEAVE
one,96582,213,0,454411,376,27,11,very_unsat,high,considering,3.74,LEAVE
one,28011,56,33,429186,145,1,2,very_unsat,little,no,5.67,LEAVE
one,159844,229,46,153809,542,29,2,very_sat,little,actively_looking_into_it,2.81,LEAVE
zero,23209,250,0,350828,209,24,10,unsat,very_little,actively_looking_into_it,2.95,LEAVE
zero,121785,190,58,532445,769,24,1,very_unsat,high,actively_looking_into_it,4.04,STAY
zero,46044,0,44,470207,230,3,2,unsat,avg,actively_looking_into_it,5.43,STAY
zero,105898,55,20,269221,447,4,5,very_sat,very_little,no,4.7,STAY
one,45144,164,17,223415,138,14,4,very_unsat,little,no,2.98,LEAVE
zero,61687,49,18,282918,873,5,6,very_unsat,very_high,no,4.59,LEAVE
one,31364,0,23,701928,214,0,4,very_unsat,very_little,actively_looking_into_it,7.98,STAY
