State,state_abbrv,primary_date,days from start of primaries,donor percent - Apr,Blue_state,Registered voters,total donors,Latino,Asian,Native,Mixed Race,Black,2008 Obama %,allow_indep,caucus,donor percent - Jan,actual delegates,predicted_delegate_pct_from_model,Early_Voting,Pct_of_mothers_Breastfeeding_at_3_months,538_predictions,Nader_2000
Iowa,IA,2/1/16,0,0.64,1,2135939,1761,3.9,1.1,0.6,1.5,2.9,0.57,1,1,63,0.48,0.52,0,41,,2.23
New Hampshire,NH,2/9/16,8,0.76,1,767383,2258,5.5,5.4,14.8,7.3,1.1,0.48,1,0,76,0.63,0.61,0,52,,3.9
Nevada,NV,2/20/16,19,0.54,1,1449377,1771,29.6,2.8,4.6,3.4,8.1,0.47,0,1,55,0.43,0.42,0,44,,2.46
South Carolina,SC,2/27/16,26,0.46,0,2722280,1655,6.4,1.2,0.8,2,27.9,0.67,1,0,51,0.26,0.3,0,32,,1.46
Alabama,AL,3/1/16,29,0.49,0,3035690,980,37.6,13,1,4.9,26.2,0.57,1,0,53,0.17,0.35,1,29,,1.1
Arkansas,AR,3/1/16,29,0.33,0,1539619,1293,13.4,3.8,0.3,2.6,15.4,0.28,1,0,39,0.31,0.16,0,49,,1.46
Colorado,CO,3/1/16,29,0.62,1,2504729,5661,11.2,1.2,1.4,2.5,4,0.68,0,1,69,0.58,0.61,1,36,,5.25
Georgia,GA,3/1/16,29,0.51,0,5804812,3553,20.7,2.8,1.1,3.4,30,0.68,1,0,52,0.28,0.32,0,50,,0.52
Massachusetts,MA,3/1/16,29,0.6,1,4220488,11434,8.8,3.2,0.3,2.1,6.6,0.42,1,0,67,0.49,0.5,1,61,,6.42
Minnesota,MN,3/1/16,29,0.6,1,3059234,3850,15.8,4.6,0.3,2.3,5.2,0.67,1,1,65,0.6,0.61,1,39,,5.2
Oklahoma,OK,3/1/16,29,0.51,0,2000610,1351,8.9,38.6,0.3,23.6,7.4,0.36,1,0,59,0.55,0.56,0,27,,0
Tennessee,TN,3/1/16,29,0.55,0,3447163,2273,9.1,3.5,0.3,2.9,16.7,0.43,1,0,56,0.34,0.37,1,27,,0.95
Texas,TX,3/1/16,29,0.46,0,13065425,11446,8.2,3.2,0.5,2.7,11.8,0.48,1,0,51,0.34,0.31,0,37,,2.15
Vermont,VT,3/1/16,29,0.96,1,342221,4204,6,1.6,0.3,2,1,0.6,1,0,96,1,0.86,0,38,,6.92
Virginia,VA,3/1/16,29,0.44,0,5216252,6560,22.5,2.4,0.4,2.5,19.4,0.65,1,0,49,0.35,0.28,1,39,,4.14
Kansas,KS,3/5/16,33,0.65,0,1706798,1071,4.2,1.5,0.7,1.6,5.9,0.74,0,1,71,0.73,0.63,0,47,,3.36
